index,Function ID,Critical Work Function,Key Tasks
19,19,acquire and manage portfolio of customers,"['seek referrals for new business opportunities', 'develop strategies to identify new customers through market segmentation and apply different approaches in targeting and selecting customers', 'manage credit and operational risks proactively to minimise any losses', 'enhance relationships with product specialists and other internal stakeholders to customise product solutions for customers']"
20,20,acquire and manage portfolio of customers,"['support strategies to identify new clients through market segmentation research', 'communicate with product specialists and other internal stakeholders to support clients relationships', 'support identification of credit and operational risks']"
21,21,acquire and manage portfolio of customers,"['establish relationships with product specialists and other internal stakeholders to customise product solutions for clients', 'develop strategies to identify new clients through market segmentation and apply different approaches in targeting and selecting clients', 'seek referrals for new and large business opportunities', 'manage credit and operational risks to minimise losses']"
22,22,acquire and manage portfolio of customers,"['drive organisational relationships with product specialists and other internal stakeholders to customise product solutions for customers', 'review credit and operational risk policies to minimise any losses', 'determine organisational strategies to identify new customers', 'drive referral strategies for new business opportunities']"
23,23,acquire sales accounts,"['assist in preparation of sales proposals', 'consolidate information on buyers’ requirements', 'support sales and finance departments to process payment to sellers', 'communicate technical details and functions of products effectively to buyers']"
24,24,acquire sales accounts,"['oversee sales negotiations', 'lead follow-up with key clients to close sales', 'present sales proposals to key clients']"
25,25,acquire sales accounts,"['conduct sales proposal presentations to senior management of key buyers', 'lead review of buyers’ overall business cycle to identify buyers’ current and future business needs that can be fulfilled by sales team', 'direct development of technical solutions, product prototypes or models', 'lead follow-up discussions with senior management of key buyers to close sales and payment fulfilment activities', 'direct overall negotiation strategy and techniques for acquiring sales accounts', 'synthesise patterns and changes in buyer’s technical requirements']"
26,26,acquire sales accounts,"[""present suitable technical solutions to address buyers' needs"", 'facilitate negotiation of sale agreements for bigger accounts', ""review buyer's overall business cycle to identify buyer's current and future business needs that can be fulfilled by sales team"", ""diagnose buyer's technical product needs"", 'review and accelerate payment processes for ad-hoc and/or non-routine payment issues with sellers', 'identify high priority buyers to facilitate follow-up discussions for sales closure and payment fulfilment activities', 'present sales proposal to buyers']"
27,27,acquire sales accounts,"['provide email, social media or telephone responses to customer enquiries', ""recommend range of products and services according to clients' needs"", 'assist in preparation of sales proposals', 'follow up with clients to close sales', 'apply upselling techniques and strategies', ""apply consultative selling techniques to identify clients' needs""]"
28,28,acquire sales accounts,"['lead follow-up with clients to close sales', 'conduct negotiation of sales agreements', ""develop consultative selling techniques to identify clients' needs"", 'develop upselling techniques and strategies', 'handle complex customer enquiries', 'prepare and present sales proposals to clients', ""review recommendations of products and services to match clients' needs""]"
29,29,acquire sales accounts,"['collaborate with sales and finance departments to facilitate payment processes to sellers', 'collate relevant information to be included in sales proposals', 'perform follow-up actions to close sales', 'analyse technical requirements or non-standard buyer requests', 'interpret buyers’ overall business cycle to support the identification of buyers’ current and future business needs', ""explain technical nuances as well as pros and cons of various solutions that appeal to buyers' technical requirements"", 'perform follow-up actions to close sales, including collaborating with finance and operations for payment fulfilment activities', 'conduct negotiation of sale agreements']"
30,30,adhere to design for safety (dfs) regulations,"['provide relevant safety information in design, construction and maintenance manuals', 'maintain dfs records of key decisions made with respect to design risks and modifications', 'propose modifications to design plans to reduce design risks']"
31,31,adhere to design for safety (dfs) regulations,"['ensure relevant safety information for design, construction and maintenance are available to stakeholders', 'identify and eliminate foreseeable risks during design and planning phases', 'review dfs records in accordance with dfs regulations']"
32,32,adhere to design for safety (dfs) regulations,"['highlight foreseeable design risks during design and planning phase', 'record data related to design risks and modifications', 'gather relevant safety information for design, construction and maintenance manuals']"
33,33,adhere to design for safety (dfs) regulations,"['drive organisational compliance with dfs regulations', 'formulate strategies and procedures to manage design risks', 'lead dfs review meetings with stakeholders']"
34,34,adhere to design for safety (dfs) regulations,"['validate design plans to ensure mitigation of design risks', 'ensure compliance with dfs regulations', 'conduct dfs review meetings with stakeholders']"
35,35,adhere to professional standards,"['escalate identified risks of ethical conflicts and threats to independence to management', 'identify risks of ethical conflicts and threats to independence', 'act in accordance with professional standards']"
36,36,adhere to professional standards,"['identify ethical conflicts in the work environment', 'act in accordance with professional standards when providing assurance services', 'identify ethical conflicts in the work environment', 'act in accordance with professional standards when providing assurance services']"
37,37,adhere to professional standards,"['evaluate risks of ethical conflicts and threats to independence', 'comply to professional standards', 'communicate risks of ethical conflicts and threats to independence to management']"
38,38,administer air cargo operations,"['check incoming shipments and outgoing cargo against import and export documents', 'perform assembly and disassembly of unit load devices (ulds)', 'ensure cargo is fit for shipments and meets airworthiness standard', 'process shipments in accordance with established weights and volumes', 'weigh ulds for the development of cargo load plans', 'store cargo in warehouses according to storage plans and cargo requirements']"
39,39,administer air cargo operations,"['develop cargo handling schedules by taking into consideration timelines and resource factors', 'review standard operating procedures (sops) for air cargo operations based on new international regulations and air laws', ""determine airlines' requirements for shipments of cargo""]"
40,40,administer air cargo operations,"['develop standard operating procedures (sops) for air cargo operations in line with industry standards and regulatory requirements', 'negotiate with airlines for cargo space, flight timing and preferential rates']"
41,41,administer air cargo operations,"['prepare master air waybills (awb) before dispatching cargo for loading on board aircraft', 'administer plans for handling and storage of shipments', 'prepare cargo manifests to account for total number of outgoing cargo', 'prepare cargo load plans based on weight of unit load devices (ulds) and available payloads']"
42,42,administer air cargo operations,"['communicate shipping requirements for different types of cargo to the team and customers', 'audit air cargo operations to ensure compliance to standard operating procedures (sops)', 'make amendments to cargo load plans based on weight of unit load devices (ulds) and aircraft weight and balance', 'finalise booklist of flights for outgoing cargo']"
43,43,administer aircraft load limits and distribution plans,"['identify potential constraints to load planning activities', 'identify dangerous goods allowed on aircraft and issues notification to captain (notoc) forms', 'highlight load planning constraints and limitations to officers and supervisors']"
44,44,administer aircraft load limits and distribution plans,"['prepare load planning documentation', 'determine available payload and load distribution based on conditions affecting flight during air operations', 'determine aircraft load limits by analysing aircraft types', 'calculate aircraft operating mass and passenger mass limits']"
45,45,administer aircraft load limits and distribution plans,"['ensure load limits and distribution plans are developed in line with standard operating procedures (sops)', 'review load distribution of cargo or baggage on aircraft', 'sign off on load distribution documentation of cargo or baggage on aircraft', 'complete load planning documentation']"
46,46,administer aircraft load limits and distribution plans,"['review standard operating procedures (sops) to calculate load limits and distribution', 'manage internal studies to audit current processes for calculating load limits and distribution']"
47,47,administer aircraft load limits and distribution plans,"['establish standard operating procedures (sops) to calculate load limits and distribution', 'implement enhancements for calculating load limits and distribution']"
48,48,administer aircraft mass and balance measurements,"['oversee mass and balance measurements operations to ensure load sheets are delivered on time', 'review calculations of aircraft mass, balance and control for accuracy', 'conduct quality assurance (qa) checks on mass and balance measurements', 'make amendments to load sheets to rectify deficiencies in load planning', 'determine manpower needs and deploy manpower for load control operations', 'resolve issues encountered during load control operations', 'review calculations of aircraft mass centre of gravity for accuracy']"
49,49,administer aircraft mass and balance measurements,"['collaborate with other departments and airlines to streamline inter-departmental procedures on load control operations', 'determine feasibility of new procedures on load control operations']"
50,50,administer aircraft mass and balance measurements,"['consult with airlines to determine load sheets requirements', 'develop manpower plans for load control operations']"
51,51,administer aircraft mass and balance measurements,"['calculate aircraft mass centre of gravity for narrow-body aircraft', 'calculate aircraft mass, balance and control for departing narrow-body aircraft', 'apply mass centre of gravity to flight planning calculations for narrow-body aircraft', 'prepare load sheets using flight performance and load planning data for narrow-body aircraft', 'troubleshoot issues encountered during load control operations']"
52,52,administer aircraft mass and balance measurements,"['calculate aircraft mass, balance and control for departing wide-body aircraft', 'apply mass centre of gravity to flight planning calculations for wide-body aircraft', 'prepare load sheets using flight performance and load planning data for narrow-body aircraft', 'troubleshoot issues encountered during load control operations', 'calculate aircraft mass centre of gravity for wide-body aircraft']"
53,53,administer airport services,"['engage in projects to enhance the airport users’ experience', 'review operational processes to identify areas for enhancements', 'maintain communication lines with airport agencies, authorities and airport operations centre (aoc)', 'oversee staff on duty to deliver public announcements', 'analyse airport users’ needs', 'resolve issues and incidents at the airport', 'plan delivery of airport services to meet customer requirements']"
54,54,administer airport services,"['resolve complaints and feedback from airport users and community', 'determine appropriate solutions to address operational and service issues', 'administer appropriate solutions to meet the needs of airport users and community', 'monitor lapses in operational and service delivery']"
55,55,administer airport services,"['drive intervention strategies to mitigate airport service delivery gaps', 'shape airport service operating models and strategies', 'forecast airport users and community needs to enhance airport services']"
56,56,administer airport services,"['resolve complex issues and incidents at the airport in consultation with higher authorities', 'determine the impact of flight delays or disruptions on airport operations', 'collaborate with airport agencies and authorities to ensure airport operations meet performance, safety and security standards']"
57,57,administer airside maintenance activities,"['collaborate with stakeholders to coordinate and harmonise airside maintenance activities', 'implement maintenance action plans for the airside', 'oversee adherence to safety and performance standards', 'provide oversight on all maintenance activities to ensure compliance standards are met', 'implement audits to ensure airside pavement surfaces, systems and environment complies with legislation and statutory requirements']"
58,58,administer airside maintenance activities,"['conduct checks to ensure closures adhere to approved standards', 'operate specialised vehicles and equipment to adhere to safety and performance standards in the airside', 'conduct routine inspections on airside facilities to ensure functionality']"
59,59,administer airside maintenance activities,"['impose stop-work orders on contractors who fail to meet approved standards', 'manage performance of contractors carrying out maintenance works', 'develop schedule plans for routine inspections of airside runways, taxiways and apron', 'manage overall operations to ensure adherence to established standards']"
60,60,administer baggage handling activities,"['operate automated baggage handling systems and perform troubleshooting when necessary', 'troubleshoot issues pertaining to automated guide vehicles/autonomous vehicles (agv/avs) and conveyors', 'delegate baggage handling activities to appropriate manpower resources', 'monitor dispatch of arrival baggage to ensure established standards are met', 'ensure all bags are scanned and loaded in the right sequence', 'brief team members on baggage and flight requirements', 'conduct checks to determine container and manpower requirements for baggage handling', 'issue dispatch orders to assistants', 'raise baggage manifest documents to account for total number of baggage']"
61,61,administer baggage handling activities,"['collaborate with other departments to determine manpower requirements for baggage handling activities', 'consult with airline representatives and authorities to determine standards for baggage handling activities', 'develop plans to mitigate compliance failures']"
62,62,administer baggage handling activities,"['ensure timely dispatch of baggage and meet established baggage handling standards', 'monitor baggage handling activities to ensure adherence to standard operating procedures (sops)', 'resolve operational issues encountered during baggage handling activities', 'verify functionality of baggage systems and scanners', 'investigate root causes of failures to comply with established baggage dispatch standards', 'monitor interline baggage to ensure accurate transfers between aircraft']"
63,63,administer baggage handling activities,"['off-load arrival baggage in accordance with standard operating procedures (sops)', 'carry out checks on baggage labelling', 'tow baggage containers to and from aircraft', 'operate automated baggage handling systems', 'load baggage in appropriate containers', 'ensure baggage has been screened for hazardous materials and dangerous goods', 'operate automated guided vehicles/autonomous vehicles (agv/avs) and conveyors']"
64,64,administer baggage handling activities,"['develop standard operating procedures (sops) for baggage handling activities', 'determine implications of new technology and regulations on baggage handling activities and make necessary adjustments']"
65,65,administer claims process,"['review organisation policies and procedures related to claims handling for continued relevance, appropriateness and robustness to ensure high standards of customer care and competitiveness', 'build and maintain strategic relationships with key customers', 'establish procedures in ensuring proper documentation flow to the team', 'drive solutions to mitigate risk and fraud in claims', 'manage escalated complaints from key strategic customers by undertaking remedial actions to resolve issues', 'review claims trend analyses over time to identify key external risk factors that impact claims frequency and severity and to highlight common indicators of fraud', 'oversee claims matters for key customers of significant strategic and financial importance to the business']"
66,66,administer claims process,"[""evaluate team's performance in terms of compliance to claims organisation's policies and procedures, basis of claims payment decisions as well as accuracy of assessment of terms, coverage and payment"", 'manage overall insurance claims handling processes', 'liaise with co-workers from related insurance functions to identify claims exposure across client accounts and geographical areas', 'determine settlement amounts for technical and/or high-value insurance claims based on investigation outcomes', 'negotiate with customers on settlement amounts, terms and recovery actions in accordance with organisation policies and procedures and applicable laws and regulations']"
67,67,administer claims process,"[""evaluate team's performance in terms of compliance to claims organisation's policies and procedures, basis of claims payment decisions as well as accuracy of assessment of terms, coverage and payment"", 'manage overall insurance claims handling processes', 'determine settlement amounts for technical and/or high-value insurance claims based on investigation outcomes', 'negotiate with customers on settlement amounts, terms and recovery actions in accordance with organisation policies and procedures and applicable laws and regulations']"
68,68,administer claims process,"['notify claims to insurers and/or reinsurers', ""analyse claims trends over time to identify key external risk factors that impact claims' frequency and severity and to highlight common indicators of fraud"", 'ensure closure of all claims requests', 'conduct negotiations to finalise settlement amounts, terms and recovery actions for customers of strategic importance or for claims that are highly technical and/or high value', 'ensure all relevant documents are obtained from the customer through communication with the brokers', 'perform routine reviews on outstanding claims', 'ensure issues interfering claims settlements are resolved in a timely manner', 'develop solutions to mitigate risk and fraud in claims']"
69,69,administer claims process,"['advise customers on claims matters including claims eligibility', 'review new claims to understand coverage and determine appropriate action', 'gather all relevant claims information and documentation ensuring proper presentation and completeness', 'identify issues interfering with claims settlements and requiring resolution', 'obtain reserving, settlement and payment authority in accordance with authority level', 'ensure all files are maintained and data captured are accurate', 'generate claims loss ratio reports for customers']"
70,70,administer claims process,"['review organisation policies and procedures related to claims handling for continued relevance, appropriateness and robustness to ensure high standards of customer care and competitiveness', 'analyse claims trends over time to identify key external risk factors that impact claims frequency and severity and also common indicators of fraud', 'conduct negotiations to finalise settlement amounts, terms and recovery actions for customers of strategic importance or claims that are highly technical and/or high-value', 'approve settlement amounts for highly technical and/or high-value insurance claims or those from customers of strategic importance']"
71,71,administer claims process,"['manage communication with third parties involved for claims pay-out purposes where applicable', 'review reserve estimates and check for variations from standard claims payment', 'prepare claims documentation in line with organisation policies and procedures and service level agreements for more technical and/or high-value insurance claims', 'input data and information into policy administration system for all insurance claims', 'review settlement amounts for routine and non-routine insurance claims', 'resolve claims settlement disputes from customers by utilising various mechanisms such as arbitration and mediation']"
72,72,administer claims process,"['liaise with the underwriting department to review organisation policies and procedures related to claims handling for continued relevance, appropriateness and robustness to ensure high standards of customer care and competitiveness', 'analyse claims trends over time to identify key external risk factors that impact claims frequency and severity and also common indicators of fraud', 'liaise with management and catastrophe (cat) modelling team to estimate extent of claims exposure and impact on the organisation in the event of catastrophic occurrences', 'conduct negotiations to finalise settlement amounts, terms and recovery actions for customers of strategic importance or claims that are highly technical and/or high-value', 'approve settlement amounts for highly technical and/or high-value insurance claims or those from customers of strategic importance']"
73,73,administer credit controls and limits,"['operationalise credit control actions as derived from organisational policy and strategy', 'administer limits relating to credit facilities as requested by front office', ""update periodically borrowers' financial, non-financial and facility information in order to affirm validity of existing credit risk ratings"", 'monitor and calculate non-performing loan (npl) exposure', 'conduct preliminary reviews on non-compliance activities or irregular activities identified before escalating to appropriate departments for actions']"
74,74,administer credit controls and limits,"['generate routine statistics and activity reports to identify irregularities in credit activity', 'input and maintain credit limits and credit information within systems', 'support credit control actions including collections, write-offs, expenses and recovery']"
75,75,administer delivery of catering services,"['dispose meal waste from aircraft', 'drive catering vehicles between flight kitchens and aircraft', 'load in-flight meals onto aircraft according to cabin loading plans', 'load and off-load food carts between flight kitchens and catering vehicles']"
76,76,administer delivery of catering services,"['assign tasks to assistants for the delivery of catering services', 'inspect the loading and off-loading of food carts from flight kitchens and catering vehicles', 'monitor the loading of in-flight meals in accordance with cabin loading plans']"
77,77,administer delivery of catering services,"['discuss cabin loading requirements with airlines and authorities', 'optimise manpower resources to deliver catering services', 'review team performance against targets set in slas', 'develop long-term manpower plans to meet delivery schedules', 'propose plans to ensure functionality of catering vehicles for daily operations']"
78,78,administer delivery of catering services,"['establish strategies to enhance performance against targets set in slas', 'implement solutions to reduce logistics costs']"
79,79,administer delivery of catering services,"['plan operational work schedules in alignment with airline schedules', 'monitor all aspects of in-flight catering process flows', 'prepare short-term manpower plans to meet delivery schedules', 'resolve day-to-day issues pertaining to delivery of catering services']"
80,80,administer design production projects,"['finalise production specifications with accurate and complete documentation', 'communicate updates and project status to stakeholders', 'ascertain the needs of project partners and project team members in collaboration with relevant stakeholders', 'supervise project partners, teams and other stakeholders during prototype design', 'recommend changes to design production specifications and contracts when discrepancies in products arise']"
81,81,administer design production projects,"['oversee the production process for projects to ensure all parameters in the design product plan are met', 'establish processes and systems for ensuring production quality and consistency with project partners', 'negotiate agreements with project partners', 'collaborate with stakeholders to translate product plans to design production needs', 'provide technical expertise to project partners and teams during the implementation of projects']"
82,82,administer employee benefits,"['generate benefits claims reports', 'collate submitted benefits claims', 'respond to routine employee queries on matters relating to benefits', 'process benefits claims based on employee submissions']"
83,83,administer employee benefits,"['develop frequently asked questions and responses on benefits', 'review benefits claims against entitlements to ensure accurate disbursements', ""verify that submitted claims are covered under organisation's benefit schemes"", 'analyse utilisation rate of employee benefits and programmes', ""liaise with organisation's vendors and partners on benefits and claims processing""]"
84,84,administer employee compensation,"['implement employee compensation reimbursement plans', 'review employer contributions reports', 'review generated payroll reports', 'develop frequently asked questions and responses on compensation matters', 'review annual salaries report and income tax declaration forms']"
85,85,administer employee compensation,"['administer compensation reimbursement based on employee submissions', 'generate monthly payroll reports', 'respond to routine employee queries on matters relating to compensation', ""generate reports on employer contributions towards employee's retirement savings plan"", 'generate annual salaries report and income tax declaration forms']"
86,86,administer engineering support,"['develop new process capabilities to meet product design requirements', 'evaluate new methodologies to improve work processes', 'direct research on application of new and unique manufacturing approaches', 'direct technical teams and be accountable for the technical results', 'evaluate manufacturing and assembly plans of new product designs', 'adapt technical practices to achieve sustainable and efficient technical results']"
87,87,administer equipment engineering,"['coordinate with sub-contractors, vendors or local authorities for any new installation or equipment re-location', 'manage contractors for outsourced services to ensure fulfilment of contract terms and agreements', 'resolve equipment maintenance issues', 'maintain uptime and operations of equipment systems']"
88,88,administer equipment engineering,"['investigate root causes of equipment failures', 'assist to plan and track all maintenance works', 'take charge of routine servicing teams and repair teams', 'ensure proper equipment on-site installations']"
89,89,administer equipment engineering,"['coordinate resources to support maintenance works', 'perform set-up and conversion to support production', 'assist to resolve equipment maintenance issues', 'assist in overseeing proper equipment maintenance and repair works']"
90,90,administer facility engineering,"['assist in overseeing proper maintenance and repair works', 'manage a service and repair team to co-ordinate ad-hoc facilities maintenance works', 'plan resources to support maintenance works', 'assist to resolve facilities maintenance issues']"
91,91,administer facility engineering,"['manage outsourced services to ensure fulfilment of contract terms and agreements', 'maintain uptime and operations of facility systems', 'resolve facility maintenance issues', 'coordinate with sub-contractors, vendors or local authorities for any new installations or system re-location']"
92,92,administer facility engineering,"['investigate root causes of facilities failures', 'ensure proper facility installations and/or renovations on-site', 'assist to plan and track all maintenance works', 'take charge of routine servicing teams and repair teams']"
93,93,administer flight operations after departures,"['resolve reports or complaints lodged by flight crew', ""serve as the country's flight operations subject matter expert (sme)""]"
94,94,administer flight operations after departures,"['investigate reports or complaints lodged by flight crew', 'implement corrective actions to address reports or complaints lodged by flight crew']"
95,95,administer flight operations after departures,"['maintain communication with airline representatives, airport agencies and authorities', 'liaise with relevant authorities on matters concerning flight operations']"
96,96,administer flight operations after departures,"['provide flight watch services for airlines', 'check and compile departure movement messages']"
97,97,administer flight operations before departures,"['oversee day-to-day planning of flights before departures', ""ensure team complies with airlines' standard operating procedures (sops) during flight operations"", 'resolve issues affecting flights and route planning for flights', 'act as point of contact to facilitate operational requirements for flight operations']"
98,98,administer flight operations before departures,"['determine flight dispatch requirements for new airlines', ""ensure adherence of flight operations procedures to airlines' standard operating procedures (sops)""]"
99,99,administer flight operations before departures,"['file flight plans with relevant authorities', 'develop flight plans in collaboration with flight crew', 'check and compile movement messages', 'monitor flight schedules and disseminate changes in flight schedules to relevant stakeholders', 'examine weather data to determine changes to flight routes']"
100,100,administer flight operations before departures,"['assist officers in developing flight plans', 'deliver flight briefing packages to flight crew', 'monitor delays and coordinate logistics for crew layovers']"
101,101,administer flight performance data calculations,"['calculate aircraft performance data pertaining to takeoff, descent and landing', 'check and submit performance data documentation to supervisors', 'ascertain other data beyond load data pertinent to flight performance']"
102,102,administer flight performance data calculations,"['support officers in calculating aircraft performance data pertaining to takeoff, descent and landing', 'assist officers and flight crew to acquire data pertinent to flight performance', ""prepare performance data documentation for officers' review""]"
103,103,administer flight performance data calculations,"['explore new technologies for calculating flight performance data based on industry changes', 'establish sops for calculating flight performance data']"
104,104,administer flight performance data calculations,"['manage compliance and operational audits for flight performance data calculations', 'review sops for calculating flight performance data']"
105,105,administer flight performance data calculations,"['finalise performance data documentation', 'sign off on performance data documentation before dissemination to relevant authorities or departments']"
106,106,administer formal restructuring and insolvency processes,"['oversee execution of proposal and/or scheme of arrangement plans to ensure alignment with strategic objectives', 'advise client executives in navigating through the restructuring and insolvency processes, including bankruptcy', 'lead overall restructuring and insolvency processes, including bankruptcy while managing stakeholder interests']"
107,107,administer formal restructuring and insolvency processes,"['assist in drafting correspondence to clients with creditors during restructuring or insolvency', 'support team with judicial management, receiverships and liquidations', 'gather relevant data and information to develop a proposal and/or scheme of arrangement']"
108,108,administer formal restructuring and insolvency processes,"['review correspondence to clients with creditors during restructuring or insolvency', 'manage project and guide the team to execute the judicial management, receivership and liquidation', 'execute proposals and/or schemes of arrangement']"
109,109,administer formal restructuring and insolvency processes,"['draft correspondence to clients with creditors during restructuring or insolvency', 'assist in developing proposals and/or scheme of arrangement plans', 'assist in judicial management, receiverships and liquidations']"
110,110,administer integration engineering,"['develop failure mode and effect analysis (fmea) to address process deviations', 'analyse possible issues before new product introduction (npi)', 'fine-tune existing process technologies for baseline improvements and support continuous yield enhancements', 'formulate robust technical improvement solutions']"
111,111,administer integration engineering,"['interpret manufacturing processes and yields and/or reliability impact to enable successful ramp up of new processes and/or products to production', 'support and implement process change requests', 'implement robust technical improvement solutions']"
112,112,administer learning and development programmes,"['evaluate the effectiveness of training, coaching and assessment programmes', 'coordinate competency assessments for production teams', 'coordinate the piloting of new training initiatives with relevant stakeholders', 'develop and implement training, coaching and assessment programmes']"
113,113,administer learning and development programmes,"['review training, coaching and assessment programmes', 'drive the continuous improvement of training, coaching and assessment programmes', 'drive the implementation of new training initiatives with relevant stakeholders', 'drive the implementation of competency assessments for production teams']"
114,114,administer performance management programmes,"['generate performance management reports ensuring confidentiality of performance review data', 'respond to employee enquiries relating to performance management system', 'disseminate information to employees in relation to performance reviews and timelines']"
115,115,administer performance management programmes,"['document action plans and assessment results for poor performers', 'develop employee communications to inform employees about performance reviews and timelines', 'gather feedback from employees to evaluate effectiveness of performance management programmes']"
116,116,administer process engineering,"['troubleshoot process engineering issues', 'develop work instructions and control plans', 'implement network solutions for production improvements']"
117,117,administer process engineering,"['analyse manufacturing process gaps to address product defect issues', 'ensure technical operations meet daily output yield targets', 'design data monitoring systems to aid data analytics']"
118,118,administer process engineering,"['monitor manufacturing processes to reduce process variations', 'analyse manufacturing process stability', 'interpret information provided by the networks and/or dashboard for performance monitoring', 'troubleshoot process deviations', 'assist to resolve process engineering issues']"
