role_id,sector,track,track_list,job_role,job_role_list,job_role_description,occupation,sub-sector,sub-track
r10,accountancy,enterprise risk management,['enterprise risk management'],enterprise risk management manager,['enterprise risk management manager'],"the enterprise risk management manager is responsible for managing enterprise-wide risks through collaboration across the organisations' risk discipline. he/she works with internal stakeholders to establish risk criteria within different business units, develop risk reporting mechanisms and propose controls that support risk mitigation plans according to enterprise-level frameworks. he also develops risk profiles to analyse the severity of risks. he also assists with the planning for recovery and resolution activities after high-risk incidents in collaboration with business units. the enterprise risk management manager is results-oriented, innovative and able to work independently. he has broad knowledge of the organisation, decision-making processes and business model. he has an analytical mindset and can communicate with senior management on sensitive risk-related issues. he is also adept at managing a diverse group of stakeholders across the organisation and guiding his team. he is familiar with the various risk disciplines within various industries and possesses knowledge of different types of risks.",enterprise risk management professional,,
r11,accountancy,enterprise risk management,['enterprise risk management'],enterprise risk management senior/enterprise risk management senior executive,"['enterprise risk management senior', 'enterprise risk management senior executive']",,enterprise risk management professional,,
r12,accountancy,financial accounting,['financial accounting'],accountant/senior accounts executive,"['accountant', 'senior accounts executive']",,financial accounting professionals,,
r13,accountancy,financial accounting,['financial accounting'],accounts executive/accounts assistant,"['accounts executive', 'accounts assistant']",,financial accounting professionals,,
r14,accountancy,financial accounting,['financial accounting'],finance manager,['finance manager'],"the finance manager is the lead finance business partner for the organisation and has responsibilities covering all aspects of financial management, performance management, financial accounting, budgeting, corporate reporting etc. he/she has sound technical as well as management skills and be able to lead a team consisting of finance professionals with varied, in-depth or niche technical knowledge and abilities; consolidating their work and ensuring its quality and accuracy, especially for reporting purposes. the finance manager is expected to provide sound financial advice and counsel on working capital, financing or the financial position of the organisation by synthesising internal and external data and studying the economic environment. he often has a key role in implementing best practices in order to identify and manage all financial and business risks and to meet the organisation's desired business and fiscal goals. he is expected to have a firm grasp of economic and business trends and to implement work improvement projects that are geared towards quality, compliance and efficiency in finance.",financial accounting professionals,,
r15,accountancy,financial accounting,['financial accounting'],financial controller,['financial controller'],"the financial controller is the chief accountant for a specific division of an organisation or a group of its entities. he/she serves as the organisation’s “go-to” person for all accounting-related matters. he is a tactician who ensures smooth day-to-day running of the accounting and finance operations. the role may be country-specific or covers several regional geographies. the financial controller may cover four key roles for the organisation. as a commentator, he is tasked with telling the business story by explaining financial numbers. he is also responsible for preparing financial reports and conducting analysis of variances in the figures to facilitate management decision-making in the running of the business. as a business partner, he focuses on creating value, acting as business advisors and integrators for the organisation. as a score keeper, the financial controller manages key functions of the organisation such as financial reporting, process improvements in the finance function, as well as ensuring smooth operation of the finance department. he holds the crucial role of helping the organisation meet its financial needs by acting as a bridge between the top management and the various departments in the organisation. as a custodian, he manages governance issues by working with business units to ensure compliance and effective controls. he acts as custodian of assets and value protection.",financial accounting professionals,,
r16,accountancy,financial accounting,['financial accounting'],head of treasury,['head of treasury'],"the head of treasury is responsible for establishing cash management strategies and overseeing the financial position of the organisation to ensure steady growth and sufficient capital. he/she pursues opportunities for financing and investment. he manages responses to unusual activities and directs compliance to regulations. he also seek opportunities for financing and investment and potential revenue opportunities after analysing the organisation's financial position. the head of treasury is results-oriented, and decisive in reviewing and endorsing reports on the organisation's position to stakeholders. he is expected to have a good sense of local and global regulatory requirements and existing and emerging financing opportunities in the market. he is skilled at fostering relationships with internal and external stakeholders to support financing needs and other treasury operations",financial accounting professionals,,
r17,accountancy,financial accounting,['financial accounting'],treasury manager,['treasury manager'],"the treasury manager is responsible for managing the organisation's daily positions, cash flows and financial returns on investments. he/she reviews and monitors the organisation's cash positions and investment portfolio. he also provides advice and updates to management and other stakeholders in the organisation as well as identifies opportunities for financing and investment. he develops plans to address gaps in organisation's cash flow positions and liquidity management. the treasury manager results-oriented, and meticulous in delivering reports on the organisation's position to stakeholders. he is expected to have a good sense of local and global regulatory requirements and opportunities in the market. he is skilled at managing and collaborating with internal and external stakeholders.",financial accounting professionals,,
r18,accountancy,financial accounting/management accounting,"['financial accounting', 'management accounting']",chief financial officer,['chief financial officer'],,chief financial officer,,
r19,accountancy,financial forensics,['financial forensics'],financial forensics associate/financial forensics executive,"['financial forensics associate', 'financial forensics executive']",,financial forensics professionals,,
r20,accountancy,financial forensics,['financial forensics'],financial forensics director/financial forensics partner,"['financial forensics director', 'financial forensics partner']",,financial forensics professionals,,
r21,accountancy,financial forensics,['financial forensics'],financial forensics manager,['financial forensics manager'],"the financial forensics manager guides his/her financial forensics team in delivering forensic investigation, prevention and detection activities, reviewing and communicating the results and recommendations to clients and stakeholders. the financial forensics manager reviews findings from fraud risk identification exercises and fraud investigations and recommendations to improve prevention and detection of fraud schemes. he critiques other expert reports and provides advice on settlements for litigation purposes. he also engages in business development opportunities, developing proposals for clients if in an external consultant role. he conducts fraud awareness and fraud prevention training for both internal and external parties. the financial forensics manager may manage the internal team or a team of forensic consultants who provide forensic services to external clients. he should be results-oriented in his work and is able to deliver reports and findings needed for different client groups. he is able to communicate with senior management and stakeholders on sensitive issues. he applies the principles of the code of professional conduct and ethics in all his tasks.",financial forensics professionals,,
r22,accountancy,financial forensics,['financial forensics'],financial forensics senior/financial forensics senior executive,"['financial forensics senior', 'financial forensics senior executive']",,financial forensics professionals,,
r23,accountancy,internal audit,['internal audit'],chief audit executive/head of internal audit,"['chief audit executive', 'head of internal audit']",,internal audit professional,,
r24,accountancy,internal audit,['internal audit'],internal audit assistant manager,['internal audit assistant manager'],"the internal audit assistant manager is responsible for developing audit procedures and programmes based on internal audit engagement objectives and scope. he/she is involved in supervising internal audit engagements. the internal audit assistant manager analyses implications of significant changes and infocomm technology (it) developments to the organisation, business units and key processes. he also guides the team to uphold professional standards and ensure internal audit engagements are executed in accordance with the international professional practices framework (ippf). he supports the business by applying data analytics and business intelligence tools to analyse data to interpret findings for business insights. the internal audit assistant manager is scrupulous and accountable. he exercises due professional care in his work.",internal audit professional,,
r25,accountancy,internal audit,['internal audit'],internal audit senior manager/internal audit manager,"['internal audit senior manager', 'internal audit manager']",,internal audit professional,,
r26,accountancy,internal audit,['internal audit'],senior internal auditor/internal auditor,"['senior internal auditor', 'internal auditor']",,internal audit professional,,
r27,accountancy,management accounting,['management accounting'],accounting executive,['accounting executive'],"the accounting executive supports the finance department in carrying out the responsibilities of the accounting department. he/she is involved work that is specific to preliminary cost analysis, profit and loss analysis, balance sheet analysis and reconciliations, and report preparation. he is expected to assist in the budgeting and forecasting process. the accounting executive is required to have a basic understanding of the business structures, operations and financial performance. he may be called on to participate in ad-hoc finance-related projects and systems testing when necessary. he is meticulous and has good time management skills.",management accounting professional,,
r28,accountancy,management accounting,['management accounting'],business controller/finance director,"['business controller', 'finance director']",,management accounting professional,,
r29,accountancy,management accounting,['management accounting'],financial planning and analysis manager,['financial planning and analysis manager'],"the financial planning and analysis (fp&a) manager is involved in most, if not all, aspects of accounting and oversees the day-to-day activities of the accounting team. he/she ensures that the organisation's finance function is well organised as well as produces timely and accurate management accounts, thus achieving compliance with corporate policies and statutory requirements. he also analyses data and understands the financial performance and position of the organisation in order to perform variance analysis and identifies key causes of business variances for performance measurement. the fp&a manager directs staff responsible for developing and modifying the management accounting system. he develops product costing techniques, institutes cost control measures, insures timely and accurate labour, material, and overhead reports, supervises the undertaking of special cost studies and periodically reviews allocation of overhead costs.",management accounting professional,,
r30,accountancy,management accounting,['management accounting'],management accountant/financial planning and analysis analyst/business analyst,"['management accountant', 'financial planning and analysis analyst', 'business analyst']",,management accounting professional,,
r31,accountancy,mergers and acquisitions,['mergers and acquisitions'],mergers and acquisitions associate/mergers and acquisitions executive,"['mergers and acquisitions associate', 'mergers and acquisitions executive']",,mergers and acquisitions professional,,
r32,accountancy,mergers and acquisitions,['mergers and acquisitions'],mergers and acquisitions manager,['mergers and acquisitions manager'],"the mergers and acquisitions manager is the second in-charge of various functions including managing transaction activities, generating and supporting the business, quality control, providing technical leadership as well as managing resources for the team. he/she is a technical expert in mergers and acquisitions. he should possess considerable experience in mergers and acquisitions, client, stakeholder and business management, project management and team development. he oversees the process, which includes sourcing, financial modelling and evaluation of transaction opportunities. he may work in an internal role within an organisation or in an advisory role in a professional services firm. he may also be a generalist or specialist in areas such as infrastructure advisory or project finance. in order to perform his duties effectively, he needs to be reliable when providing professional advice. he maintains a global perspective in his work and is able to see the big picture underlying a mergers and acquisitions event. he is commercially-driven, and confident in his ability to present and communicate with stakeholders. he also possesses strong negotiation skills.",mergers and acquisitions professional,,
r33,accountancy,mergers and acquisitions,['mergers and acquisitions'],mergers and acquisitions partner/mergers and acquisitions director,"['mergers and acquisitions partner', 'mergers and acquisitions director']",,mergers and acquisitions professional,,
r34,accountancy,mergers and acquisitions,['mergers and acquisitions'],mergers and acquisitions senior/mergers and acquisitions senior executive,"['mergers and acquisitions senior', 'mergers and acquisitions senior executive']",,mergers and acquisitions professional,,
r35,accountancy,restructuring and insolvency,['restructuring and insolvency'],restructuring and insolvency associate/restructuring and insolvency executive,"['restructuring and insolvency associate', 'restructuring and insolvency executive']",,restructuring and insolvency professional,,
r36,accountancy,restructuring and insolvency,['restructuring and insolvency'],restructuring and insolvency manager,['restructuring and insolvency manager'],"the restructuring and insolvency manager is second in-charge of various functions including managing the restructuring and insolvency processes, generating and supporting the business, ensuring quality control, providing technical leadership as well as sourcing for appropriate staff for the team. he/she is a technical expert in restructuring and insolvency. he should possess considerable amount of experience in restructuring and insolvency, client, stakeholder and business management, project management and team development. he needs to be able to identify potential risks and know when it is necessary to escalate issues. he also needs to be detailed oriented. he needs to uphold the ethical standards when exerting professional judgments.",restructuring and insolvency professional,,
r37,accountancy,restructuring and insolvency,['restructuring and insolvency'],restructuring and insolvency partner/restructuring and insolvency director,"['restructuring and insolvency partner', 'restructuring and insolvency director']",,restructuring and insolvency professional,,
r38,accountancy,restructuring and insolvency,['restructuring and insolvency'],restructuring and insolvency senior/restructuring and insolvency senior executive,"['restructuring and insolvency senior', 'restructuring and insolvency senior executive']",,restructuring and insolvency professional,,
r39,accountancy,tax,['tax'],tax associate/tax executive,"['tax associate', 'tax executive']",,tax professionals,,
r40,accountancy,tax,['tax'],tax manager,['tax manager'],"the tax manager provides operational management support and is the go-to person for a portfolio of top tier clients to deliver high quality tax services. within an organisation, he/she provides leadership to his tax team to deliver high quality tax services for internal stakeholders and manages tax projects within his portfolio. he also drives the performance and development of team capabilities through active coaching and mentoring to achieve effective and efficient team performance. in a professional services setup, he reviews and provides key technical expertise and operational leadership to ensure the performance and quality of all tax work. he value-adds to the organisation by developing tax solutions and being involved in a broad range of projects to achieve tax efficiency, as well as foster a culture of learning and professionalism within the team. he develops and maintains long-term client relationships and value-adds to the organisation by proactively identifying new business development opportunities and is responsible for the development and marketing of new products and service offerings. he ensures operational and financial excellence by determining and monitoring the budget, timeliness and resources for the tax projects in his portfolio. beyond overseeing the operation of various tax teams to ensure deliverables within the allotted budget and timeline, he may also manage cross-functional and cross-border projects. in a business setup, he is a go-to operational person on all tax matters for the business units, external tax agents and the tax authority. he value-adds to the organisation by proactively deepening his technical knowledge and keeping abreast of tax regulations to ensure all tax obligations of entities/regions under his portfolio are met. he also provides key technical expertise and leadership to ensure that the tax function provides high quality tax deliverables and that they operate in line with the organisation's overall tax strategy. he may also be involved in local or international projects such as developing a regional tax framework or proposing updated tax governance and controls.",tax professionals,,
r41,accountancy,tax,['tax'],tax partner/tax director/tax vice president/head of tax,"['tax partner', 'tax director', 'tax vice president', 'head of tax']",,tax professionals,,
r42,accountancy,tax,['tax'],tax senior/tax senior executive,"['tax senior', 'tax senior executive']",,tax professionals,,
r43,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",engineering service engineer/technical service engineer (aircraft engine/component maintenance),"['engineering service engineer', 'technical service engineer (aircraft engine', 'component maintenance)']",,engineer,,
r44,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",general manager/managing director/vice president (aircraft engine/component maintenance),"['general manager', 'managing director', 'vice president (aircraft engine', 'component maintenance)']",,"managing director, chief executive and general manager",,
r45,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",general worker/operator,"['general worker', 'operator']",,operator,,
r46,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",ndt level 3 engineer (aircraft engine/component maintenance),"['ndt level 3 engineer (aircraft engine', 'component maintenance)']",,quality control/assurance engineer,,
r47,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",operations manager (aircraft engine/component maintenance),"['operations manager (aircraft engine', 'component maintenance)']",,operations manager,,
r48,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",planning assistant (aircraft engine/component maintenance),"['planning assistant (aircraft engine', 'component maintenance)']",,production planning assistant,,
r49,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",planning executive (aircraft engine/component maintenance),"['planning executive (aircraft engine', 'component maintenance)']",,production planning engineer,,
r50,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",planning manager (aircraft engine/component maintenance),"['planning manager (aircraft engine', 'component maintenance)']",,production planning manager,,
r51,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",planning supervisor (aircraft engine/component maintenance),"['planning supervisor (aircraft engine', 'component maintenance)']",,production planning supervisor,,
r52,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",quality engineer (aircraft engine/component maintenance),"['quality engineer (aircraft engine', 'component maintenance)']",,quality control/assurance engineer,,
r53,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",quality manager (aircraft engine/component maintenance),"['quality manager (aircraft engine', 'component maintenance)']",,quality assurance manager,,
r54,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",repair engineer/process engineer,"['repair engineer', 'process engineer']",,engineer,,
r55,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",senior engineering service engineer/senior technical service engineer (aircraft engine/component maintenance),"['senior engineering service engineer', 'senior technical service engineer (aircraft engine', 'component maintenance)']",,engineer,,
r56,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",senior ndt level 3 engineer (aircraft engine/component maintenance),"['senior ndt level 3 engineer (aircraft engine', 'component maintenance)']",,quality control/assurance engineer,,
r57,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",senior operations manager/senior technical manager,"['senior operations manager', 'senior technical manager']",,operations manager,,
r58,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",senior planning executive (aircraft engine/component maintenance),"['senior planning executive (aircraft engine', 'component maintenance)']",,production planning engineer,,
r59,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",senior quality engineer (aircraft engine/component maintenance),"['senior quality engineer (aircraft engine', 'component maintenance)']",,quality control/assurance engineer,,
r60,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",senior repair engineer/senior process engineer,"['senior repair engineer', 'senior process engineer']",,engineer,,
r61,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",senior technician (component repair & overhaul - avionics),['senior technician (component repair & overhaul - avionics)'],,engineering technician,,
r62,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",senior technician (component repair & overhaul - mechanical),['senior technician (component repair & overhaul - mechanical)'],,engineering technician,,
r63,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",senior technician (engine/engine component repair & overhaul),"['senior technician (engine', 'engine component repair & overhaul)']",,engineering technician,,
r64,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",store assistant,['store assistant'],,storekeeper,,
r65,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",technical service manager (aircraft engine/component maintenance),"['technical service manager (aircraft engine', 'component maintenance)']",,technical/engineering services manager,,
r66,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",technician (component repair & overhaul - avionics),['technician (component repair & overhaul - avionics)'],,engineering technician,,
r67,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",technician (component repair & overhaul - mechanical),['technician (component repair & overhaul - mechanical)'],,engineering technician,,
r68,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",technician (engine/engine component repair & overhaul),"['technician (engine', 'engine component repair & overhaul)']",,engineering technician,,
r69,aerospace,aircraft engine/component maintenance,"['aircraft engine', 'component maintenance']",trainee maintenance technician,['trainee maintenance technician'],,trainee technician,,
r70,aerospace,aircraft maintenance,['aircraft maintenance'],aircraft maintenance engineer apprentice,['aircraft maintenance engineer apprentice'],"the aircraft maintenance engineer apprentice performs aircraft maintenance tasks under the supervision of a licensed aircraft engineer and in accordance with relevant technical manuals. he/she assists in troubleshooting of aircraft equipment, structures and systems relevant to his/her specialisation. he is expected to adhere to the organisation's standard operating procedures (sops), and safety, health and quality systems. he supports in implementation of continuous improvement initiatives in the workplace. he is expected to qualify relevant tests and examinations and present himself for evaluation by caas examiners or appointed interviewers upon completion of the apprenticeship for confirmation as a licensed aircraft engineer.",trainee technician,,
r71,aerospace,aircraft maintenance,['aircraft maintenance'],assistant foreman/lead maintenance engineer/superintendent,"['assistant foreman', 'lead maintenance engineer', 'superintendent']",,engineer,,
r72,aerospace,aircraft maintenance,['aircraft maintenance'],cat a certifying technician,['cat a certifying technician'],"the cat a certifying technician performs simple scheduled line and base maintenance tasks within the limit specified in the authorisation certificate. he/she tests serviceability of aircraft line replacement units using test switches, built in test equipment (bite) and other specialised test equipment. he informs remedial actions to rectify technical and service problems, and processes documentation in accordance with regulatory requirements. he is authorised to issue certificate of release to service (crs) following maintenance within the limit of tasks specified in the authorisation certificate. he monitors compliance with airworthiness and legislative requirements, and oversees conformance to the organisation's standard operating procedures (sops), safety, health and quality systems. he implements continuous improvement initiatives and lean practices in the workplace. he works in a hangar or workshop and may be expected to work in shifts. he should posses a quality, safety and risk compliance mindset, and should be highly meticulous, reliable, and able to work independently and in a team to achieve desired aircraft maintenance targets.",licensed aircraft technician,,
r73,aerospace,aircraft maintenance,['aircraft maintenance'],engineering service engineer/technical service engineer (aircraft maintenance),"['engineering service engineer', 'technical service engineer (aircraft maintenance)']",,engineer,,
r74,aerospace,aircraft maintenance,['aircraft maintenance'],engineering service manager/technical service manager,"['engineering service manager', 'technical service manager']",,technical/engineering services manager,,
r75,aerospace,aircraft maintenance,['aircraft maintenance'],foreman/operations manager/programme manager,"['foreman', 'operations manager', 'programme manager']",,operations manager,,
r76,aerospace,aircraft maintenance,['aircraft maintenance'],general manager/managing director/vice president (aircraft maintenance),"['general manager', 'managing director', 'vice president (aircraft maintenance)']",,"managing director, chief executive and general manager",,
r77,aerospace,aircraft maintenance,['aircraft maintenance'],general worker/operator,"['general worker', 'operator']",,operator,,
r78,aerospace,aircraft maintenance,['aircraft maintenance'],licensed aircraft engineer - cat b1 (mechanical),['licensed aircraft engineer - cat b1 (mechanical)'],"the licensed aircraft engineer - cat b1 (mechanical) ensures conformance of line maintenance of aircraft structures and components to airworthiness directives. he/she certifies maintenance and repair tasks for compliance with the approved procedures of regulatory authorities, original equipment manufacturers (oem) and own organisation. he reviews documentation for compliance with regulatory requirements and is authorised to issue certificate of release to service (crs) for aircraft following maintenance of aircraft structures, power plants, mechanical and electrical systems, and replacement of line replaceable units (lru).he ensures adherence to the organisation's safety, health and quality systems. he identifies opportunities for continuous improvement through data analytics, research and innovation, and implements lean and sustainability practices in aircraft maintenance. he monitors staff performance and is expected to provide technical guidance and training to aircraft trainee technicians. he should possess high mental concentration and a quality, safety and risk compliance mindset. he should be highly systematic, analytical and meticulous to ensure aircraft airworthiness.",licensed aircraft engineer,,
r79,aerospace,aircraft maintenance,['aircraft maintenance'],licensed aircraft engineer - cat b2 (avionics),['licensed aircraft engineer - cat b2 (avionics)'],"the licensed aircraft engineer - cat b2 (avionics) ensures conformance of line maintenance of avionics systems to airworthiness directives. he/she certifies maintenance and repair tasks for compliance with the approved procedures of regulatory authorities, original equipment manufacturers (oem) and own organisation. he reviews documentation for compliance with regulatory requirements and is authorised to issue certificate of release to service (crs) for aircraft following maintenance of avionics and electrical systems, and following replacement of avionics line replaceable units (lru).he ensures adherence to the organisation's safety, health and quality systems. he identifies opportunities for continuous improvement through data analytics, research and innovation, and implements lean and sustainability practices in aircraft maintenance. he monitors staff performance and is expected to provide technical guidance and training to aircraft trainee technicians. he should possess high mental concentration and a quality, safety and risk compliance mindset. he should be highly systematic, analytical and meticulous to ensure aircraft airworthiness.",licensed aircraft engineer,,
r80,aerospace,aircraft maintenance,['aircraft maintenance'],licensed aircraft engineer - cat c,['licensed aircraft engineer - cat c'],"the licensed aircraft engineer - cat c ensures conformance of base maintenance works to airworthiness directives. he/she certifies maintenance and repair tasks for compliance with the approved procedures of regulatory authorities, original equipment manufacturers (oem) and own organisation. he reviews documentation for compliance with regulatory requirements and is authorised to issue certificate of release to service (crs) for aircraft following maintenance within the limit specified in the authorisation certificate. he ensures adherence to the organisation's safety, health and quality systems. he identifies opportunities for continuous improvement through data analytics, research and innovation, and implements lean and sustainability practices in aircraft maintenance. he monitors staff performance and is expected to provide technical guidance and training to aircraft trainee technicians. he should possess high mental concentration and a quality, safety and risk compliance mindset. he should be highly systematic, analytical and meticulous to ensure aircraft airworthiness. ",licensed aircraft engineer,,
r81,aerospace,aircraft maintenance,['aircraft maintenance'],ndt level 3 engineer (aircraft maintenance),['ndt level 3 engineer (aircraft maintenance)'],"the ndt level 3 engineer (aircraft maintenance) oversees non-destructive testing (ndt) of aircraft structures to test their durability and performance. he/she prescribes ndt methods, techniques and procedures to be used in accordance with applicable codes, standards and specifications. he ensures that all ndt inspections comply with the requirements of customers, original equipment manufactures (oem) and en 4179, nas 410, nadcap as appropriate. he liaises with workshops and engineering teams for failure investigations and proposes engineering solutions for structural flaws and defects. he also conducts technical audits to ensure compliance with engineering standards manual and ndt requirements, and ensures proper documentation. he ensures compliance with airworthiness and legislative requirements and organisation's safety, health and quality systems. he identifies opportunities for continuous improvement through data analytics, research and innovation, and implements lean and sustainability practices in aircraft ndt activities. he monitors staff performance and is expected to provide technical guidance to level 1 and level 2 ndt personnel. he is required to support the ndt team remotely or at site. he should be meticulous and systematic in carrying out his tasks, and should deploy critical and analytical thinking to identify discrepancies, resolve problems and mitigate potential risks in aircraft maintenance activities.",quality control/assurance engineer,,
r82,aerospace,aircraft maintenance,['aircraft maintenance'],planning assistant (aircraft maintenance),['planning assistant (aircraft maintenance)'],"the planning assistant (aircraft maintenance) monitors inventory status and stock availability, and prepares sub-contract orders for outsourced aircraft maintenance and repair works and material procurement. he/she verifies the accuracy of invoices for spares and consumables, submits warranty claims to original equipment manufacturers (oems), and resolves material and logistics disputes in consultation with various departments as required. he is expected to comply with airworthiness and legislative requirements, as well as the organisation's standard operating procedures (sops), and safety, health and quality systems. he supports in implementation of continuous improvement initiatives and lean practices in the workplace. he should possess planning, organisation and stakeholder management skills. he should be a team player, possess good verbal and written communication skills, and perform well under pressure to assist his team members in ensuring adherence to planned maintenance schedules and uninterrupted supply of planned resources.",production planning assistant,,
r83,aerospace,aircraft maintenance,['aircraft maintenance'],planning executive (aircraft maintenance),['planning executive (aircraft maintenance)'],"the planning executive (aircraft maintenance) establishes maintenance schedules, releases and work orders for on-time delivery according to customer requirements. he/she plans for manpower and resources, and monitors the status of maintenance works for adherence to project schedules. he liaises with customers, workshops and suppliers for material requirements planning and technical and programme reviews. he supports supply chain and logistics planning through contract negotiations, vendor sourcing, inventory planning and control and provisioning of spares and consumables to meet flowchart targets. he analyses data from supply chain management (scm) systems and conducts supplier performance and capability assessments. he ensures compliance with airworthiness and legislative requirements and organisation's safety, health and quality systems. he identifies opportunities for continuous improvement through data analytics, research and innovation, and implements lean and sustainability practices in aircraft non-destructive testing (ndt) activities. he monitors staff performance and is expected to provide technical guidance to junior team members. he should be highly methodical and proactive, and should possess planning and forecasting skills. he should possess good communication skills and collaborate with internal and external stakeholders to ensure adherence to planned maintenance schedules and maximum utilisation of resources.",production planning engineer,,
r84,aerospace,aircraft maintenance,['aircraft maintenance'],planning manager (aircraft maintenance),['planning manager (aircraft maintenance)'],"the planning manager (aircraft maintenance) is responsible for strategising long-term supply chain management plans, optimising aircraft maintenance planning and resource management, and driving supplier capability and performance enhancement programmes. he/she develops vendor management strategies and leads technology application to strengthen sourcing, inventory and warehousing operations. he provides project management oversight for aircraft servicing operations and manages technical and programme reviews with customers and suppliers. he manages compliance with airworthiness and legislative requirements, and contributes to development of the organisation's standard operating procedures (sops), management systems, lean and sustainability practices, and data analytics plans for strategic decision-making. he drives team performance to achieve business key performance indicators (kpis) and leads talent recruitment and development plans. he should demonstrate strong leadership capabilities, strategic thinking and foresight, and collaborate cross-functionally to ensure smooth operations and achieve desired organisational outcomes. he should be able to consider a broad range of factors to arrive at optimal decisions to ensure business continuity especially during unforeseen delays in aircraft maintenance processes.",production planning manager,,
